utc,true_lat,true_lon,num_sights,sights
2046-10-20T13:05:22Z,64.15,-21.95,6,Mirfak:26.3082:340.0791|Schedar:31.3405:8.1277|Denebola:37.0971:211.7766|Polaris:63.6794:359.3265|Pollux:26.4067:280.0007|Regulus:26.9155:238.3566
2021-10-30T20:26:25Z,1.35,103.82,6,Alphard:36.8518:101.9947|Suhail:28.3259:142.6665|Capella:44.4421:350.0645|Adhara:56.3955:155.7275|Regulus:27.0871:77.3557|Sirius:68.5213:147.8729
2012-11-15T23:31:09Z,0.0,0.0,6,Ankaa:33.675:216.1246|Elnath:47.0234:45.368|Pollux:19.0621:60.2274|Betelgeuse:48.7123:78.732|Diphda:49.303:241.8517|Mirfak:40.0232:2.596
2030-07-31T02:19:06Z,35.0,-40.0,6,Enif:57.4492:134.6041|Alioth:18.6135:326.0525|Kochab:35.9574:340.398|Alpheratz:40.4508:79.2158|Rasalhague:47.9092:247.6863|Polaris:34.8402:0.7256
2014-06-13T13:19:22Z,20.0,179.9,6,Kaus Aus.:35.3992:185.2922|Eltanin:57.0731:345.908|Markab:28.3804:82.9823|Alkaid:25.0332:316.0314|Enif:45.7946:96.3543|Deneb:55.2036:36.6332
2047-06-05T02:28:36Z,64.15,-21.95,6,Arcturus:32.2341:245.0639|Altair:31.0007:145.268|Polaris:63.6852:0.6861|Enif:22.6627:115.2269|Vega:63.8559:160.2931|Alpheratz:24.4663:72.7889
2022-11-07T16:21:15Z,43.77,11.25,6,Mirfak:22.6574:41.5247|Enif:50.803:142.6482|Sabik:17.4192:226.007|Dubhe:20.9229:339.7519|Alphecca:32.4226:277.3037|Alkaid:28.1507:312.5575
2001-06-17T04:33:31Z,0.0,0.0,6,Schedar:26.3974:21.3512|Kaus Aus.:26.0806:231.0418|Alnair:43.0218:181.6817|Eltanin:15.4255:324.2653|Peacock:29.137:196.823|Altair:52.9075:284.8144
2045-02-10T17:39:17Z,64.15,-21.95,6,Alioth:30.1096:6.5327|Bellatrix:19.322:116.9555|Betelgeuse:17.2482:109.3302|Dubhe:38.7357:21.8283|Deneb:46.7984:280.9137|Hamal:49.1533:168.2535
2050-09-29T07:01:55Z,64.15,-21.95,6,Alnilam:24.4679:187.7645|Polaris:64.6042:359.2898|Regulus:22.938:111.5776|Alkaid:33.8047:45.3213|Deneb:23.8308:331.1324|Menkar:21.8328:230.0428
2009-11-21T01:10:56Z,0.0,0.0,6,Mars:28.3587:68.9266|Hamal:39.5919:301.18|Canopus:35.1628:166.6562|Sirius:61.4401:127.0158|Achernar:18.8595:207.3611|Mirfak:35.1527:339.3137
2044-01-21T07:18:50Z,0.0,0.0,6,Rigil Kent:28.5644:185.1537|Alkaid:37.1681:341.5067|Spica:59.8156:246.8707|Shaula:41.2996:143.4675|Acrux:19.2379:198.8206|Jupiter:27.3614:115.2198
2005-07-06T19:00:35Z,-55.9,-67.2,6,Gienah:40.6944:55.9527|Adhara:51.9191:298.9431|Procyon:24.7179:329.1288|Shaula:15.7442:134.567|Zubenelg.:18.8282:91.0272|Atria:44.9314:151.5631
2006-07-21T08:58:01Z,64.15,-21.95,6,Menkar:29.8161:186.7764|Deneb:35.4869:302.0489|Pollux:35.88:99.4127|Alnilam:20.3979:144.9375|Markab:24.3646:254.1615|Saturn:18.6198:87.5363
2017-08-14T08:33:53Z,64.15,-21.95,6,Capella:71.0296:158.1986|Alkaid:28.1271:29.971|Dubhe:50.1667:47.3949|Alioth:37.4023:35.7386|Polaris:64.7502:359.3144|Procyon:22.6572:129.5872
2005-03-05T22:57:17Z,20.0,179.9,6,Vega:44.2213:305.1619|Hamal:31.0663:73.9858|Markab:71.9804:102.4274|Deneb:60.8284:334.1132|Kochab:15.1367:344.1423|Moon:26.9242:221.3057
2050-06-09T19:39:25Z,-55.9,-67.2,6,Rigil Kent:44.5872:137.3571|Menkent:31.4728:110.0784|Alphard:41.2223:21.9049|Alnilam:25.9718:312.7452|Adhara:59.3194:322.3882|Ankaa:20.7065:224.084
2006-05-02T19:54:10Z,-33.87,151.21,6,Atria:42.6763:204.3689|Fomalhaut:60.7679:91.0498|Altair:45.6161:342.1031|Diphda:33.9964:89.7184|Antares:35.9466:259.8693|Hadar:24.7457:212.4582
2023-10-13T15:50:33Z,0.0,0.0,6,Menkent:32.848:224.9453|Shaula:52.6736:174.4567|Moon:17.3198:268.2418|Spica:31.3279:256.7596|Peacock:21.885:154.2012|Nunki:54.6244:139.8595
2037-02-18T16:05:29Z,1.35,103.82,6,Rigel:34.282:259.1623|Miaplacidus:18.7206:178.4513|Betelgeuse:44.8957:279.1241|Gienah:36.9584:113.5346|Avior:28.6693:184.7838|Dubhe:25.029:16.3406
2041-02-20T06:35:49Z,20.0,179.9,6,Capella:62.5684:15.9496|Mirfak:56.8947:339.1468|Acamar:25.6734:200.5677|Sirius:41.4235:136.953|Betelgeuse:66.9518:120.321|Venus:24.6174:269.2672
2042-04-19T12:19:19Z,-33.87,151.21,6,Spica:62.0969:40.5691|Alphard:44.5489:293.6324|Denebola:41.4608:352.2778|Shaula:26.5768:118.4981|Avior:44.7232:217.0595|Regulus:35.6147:321.5115
2015-06-11T07:38:33Z,1.35,103.82,6,Adhara:57.2051:201.2743|Mirfak:15.9869:322.1189|Betelgeuse:60.676:282.7857|Sun:46.7487:303.1533|Jupiter:62.8252:55.5524|Pollux:63.3379:357.5831
2020-12-14T13:31:42Z,43.77,11.25,6,Nunki:18.8366:192.9888|Saturn:25.5482:175.7197|Arcturus:17.5103:279.9212|Enif:48.1713:135.2995|Sabik:20.1762:221.1977|Dubhe:22.39:337.4054
2014-02-17T20:37:29Z,-33.87,151.21,6,Peacock:44.8262:138.7554|Saturn:66.7709:314.8704|Menkent:60.2751:254.5077|Sabik:69.9594:27.5403|Zubenelg.:61.0635:301.5865|Gacrux:43.7226:220.6469
2029-02-20T05:56:53Z,43.77,11.25,6,Schedar:22.4764:31.1024|Rasalhague:56.7833:156.0995|Kochab:57.1471:346.104|Denebola:21.915:269.1942|Enif:17.3764:92.7271|Spica:19.0601:231.7971
2009-03-07T12:04:24Z,0.0,0.0,6,Mars:65.6492:232.3963|Achernar:25.2499:158.3232|Menkar:30.6647:85.2018|Ankaa:43.9823:159.156|Kaus Aus.:16.1969:233.983|Peacock:24.9258:202.8248
2048-03-02T04:24:18Z,0.0,0.0,6,Regulus:15.6855:282.1863|Gacrux:25.0496:201.6052|Eltanin:27.2301:28.3695|Shaula:39.2276:141.1944|Vega:28.0098:44.7524|Sabik:55.0671:118.3559
2013-04-15T10:35:48Z,-33.87,151.21,6,Betelgeuse:16.0767:290.7928|Regulus:44.2049:357.7637|Avior:58.3401:207.15|Pollux:18.7263:325.5274|Procyon:36.3747:309.0221|Zubenelg.:26.1305:92.4473
2032-03-31T04:52:04Z,64.15,-21.95,6,Mirfak:24.3183:6.0102|Polaris:63.559:0.268|Dubhe:58.1562:299.9815|Denebola:24.7458:251.108|Eltanin:70.2656:116.0531|Altair:21.6516:115.8019
2010-11-15T17:34:51Z,64.15,-21.95,6,Dubhe:41.1738:331.3071|Alioth:43.6978:310.8774|Enif:31.881:144.8918|Arcturus:20.4356:271.8808|Hamal:18.7127:74.5071|Eltanin:71.0071:241.1667
2038-06-22T12:37:20Z,-55.9,-67.2,6,Canopus:54.2586:112.1689|Diphda:48.5338:328.1059|Peacock:45.5736:231.6416|Atria:38.3809:197.1134|Menkar:28.9016:15.0037|Miaplacidus:46.5611:151.17
2024-01-17T15:24:07Z,64.15,-21.95,6,Eltanin:58.7141:273.3773|Deneb:69.4202:211.3353|Capella:31.6372:48.1701|Kochab:56.9726:330.5747|Elnath:15.157:54.5957|Schedar:67.1952:87.9818
2011-03-06T04:03:03Z,1.35,103.82,6,Vega:31.8693:316.3217|Schedar:25.3196:24.1209|Kaus Aus.:29.723:228.4077|Mars:73.5278:130.2846|Peacock:29.4089:193.3574|Eltanin:19.869:325.4526
2031-08-07T22:37:23Z,20.0,179.9,6,Bellatrix:54.4956:252.1394|Denebola:30.666:84.7342|Mirfak:31.8895:317.1556|Dubhe:35.6506:27.0342|Alphard:50.9606:135.0127|Saturn:56.2543:279.2109
