utc,location,obs_lat,obs_lon,body,alt_deg,az_deg,sha_deg,dec_deg
2033-04-23T00:45:57Z,Southern Ocean,-55.0,-120.0,Achernar,48.72748,233.75989,335.27419,-57.06949
2028-02-14T09:29:42Z,North Pole,89.9,0.0,Mars,-11.32218,131.12891,24.74253,-11.38693
2017-04-25T18:39:45Z,Sydney,-33.87,151.21,Hadar,36.78382,216.25374,148.72478,-60.45496
2046-10-15T05:12:09Z,Florence,43.77,11.25,Deneb,0.57794,347.77608,49.23995,45.45436
2004-10-11T12:37:09Z,Intl Date Line,20.0,179.9,Ankaa,24.2012,198.46772,353.36308,-42.28019
2035-06-05T05:19:09Z,Intl Date Line,20.0,179.9,Procyon,50.29226,253.17965,244.7167,5.12899
2032-09-16T15:46:12Z,Singapore,1.35,103.82,Procyon,-48.27524,80.73369,244.74613,5.13807
2036-09-15T13:11:18Z,Sydney,-33.87,151.21,Ankaa,70.23531,121.33705,352.97454,-42.1058
2041-06-13T12:49:44Z,Southern Ocean,-55.0,-120.0,Elnath,-33.0021,86.0523,277.78127,28.6387
2050-09-21T19:03:10Z,North Pole,89.9,0.0,Jupiter,13.73568,319.04856,212.39545,13.81159
2049-11-19T06:14:53Z,North Pole,89.9,0.0,Elnath,28.67639,250.11198,277.62702,28.64233
2009-01-18T22:33:26Z,Sydney,-33.87,151.21,Suhail,9.67425,223.43931,222.90834,-43.46934
2016-05-03T15:31:32Z,Sydney,-33.87,151.21,Enif,2.46761,76.27867,33.75521,9.94895
2004-11-01T08:30:24Z,Intl Date Line,20.0,179.9,Peacock,5.59112,201.62934,53.49565,-56.72513
2010-01-13T02:21:08Z,Intl Date Line,20.0,179.9,Aldebaran,-4.70591,70.50262,290.86609,16.53008
2021-07-20T17:28:54Z,Florence,43.77,11.25,Acamar,-80.01164,286.51367,315.23492,-40.21654
2038-03-15T05:22:29Z,Sydney,-33.87,151.21,Gienah,-25.66501,136.88423,175.55346,-17.75384
2006-12-01T21:24:07Z,Florence,43.77,11.25,Regulus,-5.20043,67.9931,207.81379,11.93356
2021-09-30T22:41:16Z,North Pole,89.9,0.0,Mars,-3.54754,340.40968,170.20293,-3.4524
2002-05-03T06:09:10Z,Mid-Atlantic,35.0,-40.0,Alnair,-7.4496,143.91184,27.91294,-46.94896
2038-01-19T07:14:05Z,Intl Date Line,20.0,179.9,Ankaa,17.66002,210.1517,352.96754,-42.10563
2049-01-28T12:58:57Z,Equator/Prime,0.0,0.0,Mirfak,0.63501,39.96134,308.02599,50.03453
2019-01-05T11:35:38Z,Southern Ocean,-55.0,-120.0,Polaris,-55.26663,358.95706,315.836,89.34684
2029-02-15T21:20:18Z,Intl Date Line,20.0,179.9,Suhail,-54.94159,220.7225,222.7219,-43.55463
2019-07-01T03:01:00Z,Sydney,-33.87,151.21,Miaplacidus,51.90097,167.37023,221.65968,-69.80002
2018-08-16T07:52:53Z,Equator/Prime,0.0,0.0,Hamal,35.38399,299.34253,327.94525,23.5479
2024-09-23T10:12:11Z,Sydney,-33.87,151.21,Altair,46.34786,347.04859,62.00092,8.93546
2025-09-11T05:04:19Z,Singapore,1.35,103.82,Polaris,0.99751,359.47538,313.5153,89.36798
2007-10-02T06:31:10Z,Tokyo,35.6,139.7,Moon,-25.4602,345.45226,276.87045,28.27092
2005-05-16T02:03:18Z,Intl Date Line,20.0,179.9,Bellatrix,75.99234,193.52076,278.65133,6.35563
2018-09-15T09:36:34Z,Florence,43.77,11.25,Bellatrix,20.0996,259.21871,278.46916,6.36566
2045-10-30T07:19:19Z,South Pole,-89.9,0.0,Kochab,-73.93898,73.46361,137.35803,73.96716
2046-03-04T19:14:18Z,Tokyo,35.6,139.7,Hadar,-7.47343,189.37063,148.2083,-60.59257
2022-02-25T14:13:55Z,Southern Ocean,-55.0,-120.0,Procyon,-27.9717,234.50149,244.88317,5.16675
2005-03-10T12:41:54Z,Equator/Prime,0.0,0.0,Alphecca,-30.85618,301.55108,126.27167,26.69202
2022-08-14T06:10:40Z,Equator/Prime,0.0,0.0,Saturn,-0.55896,254.57119,35.26146,-15.42803
2020-08-15T12:30:20Z,Cape Horn,-55.9,-67.2,Alkaid,-55.36777,76.22856,152.91912,49.21695
2006-08-30T15:38:55Z,Cape Horn,-55.9,-67.2,Denebola,14.87507,31.17926,182.65361,14.53719
2037-07-02T20:25:55Z,Cape Horn,-55.9,-67.2,Shaula,23.2709,122.46016,95.95913,-37.1262
2043-10-23T16:14:15Z,Singapore,1.35,103.82,Achernar,31.46758,176.49697,335.15168,-57.01438
2022-12-13T15:02:00Z,Equator/Prime,0.0,0.0,Menkent,-4.64225,233.38159,147.99839,-36.47879
2049-05-30T06:49:56Z,Singapore,1.35,103.82,Menkar,41.67106,274.52871,313.78357,4.27981
2047-04-20T17:13:08Z,Southern Ocean,-55.0,-120.0,Moon,37.662,352.9847,18.50627,-3.57294
2013-06-25T15:13:57Z,North Pole,89.9,0.0,Hamal,23.48954,290.46811,328.01537,23.52447
2008-11-30T08:25:51Z,Southern Ocean,-55.0,-120.0,Schedar,-33.66037,322.89322,349.73974,56.59189
2031-02-21T14:50:25Z,Cape Horn,-55.9,-67.2,Schedar,-33.81316,36.36326,349.42749,56.71071
2007-06-09T02:44:18Z,Southern Ocean,-55.0,-120.0,Zubenelg.,38.23534,59.29362,137.17128,-16.07584
2043-04-05T16:21:08Z,Singapore,1.35,103.82,Aldebaran,-21.91781,288.50544,290.40182,16.59334
2006-04-20T18:01:25Z,Singapore,1.35,103.82,Avior,-4.80882,210.31968,234.3418,-59.53276
2014-08-11T03:13:46Z,Sydney,-33.87,151.21,Sun,37.8081,337.42039,219.16435,15.30997
2046-11-10T10:17:50Z,Tokyo,35.6,139.7,Mirfak,39.90123,50.95631,308.0628,50.02584
2036-03-26T06:46:21Z,Cape Horn,-55.9,-67.2,Rigel,-17.76409,222.32835,280.93374,-8.16806
2008-02-29T16:29:00Z,Sydney,-33.87,151.21,Hamal,-73.56404,234.70539,328.09349,23.50313
2037-08-04T11:17:19Z,Mid-Atlantic,35.0,-40.0,Altair,-34.721,315.79531,61.84372,8.97202
2004-05-05T15:59:16Z,Reykjavik,64.15,-21.95,Regulus,19.22079,102.5208,207.85132,11.94728
2017-11-26T06:16:53Z,Intl Date Line,20.0,179.9,Alphecca,-4.18413,300.35583,126.1483,26.65842
2038-06-28T06:10:30Z,Mid-Atlantic,35.0,-40.0,Canopus,-49.09689,132.46935,263.80926,-52.71875
2026-12-08T04:58:42Z,Tokyo,35.6,139.7,Regulus,-28.703,312.8086,207.5453,11.8337
2005-11-28T14:05:10Z,Equator/Prime,0.0,0.0,Sun,50.29879,235.18903,115.41852,-21.38609
2026-02-15T08:12:33Z,South Pole,-89.9,0.0,Nunki,26.36075,15.7405,75.78114,-26.26449
2019-04-25T03:48:31Z,Tokyo,35.6,139.7,Rigil Kent,-63.97548,169.49964,139.76175,-60.91245
2046-03-09T07:29:11Z,Mid-Atlantic,35.0,-40.0,Bellatrix,-43.51397,328.43896,278.0925,6.38785
2048-07-09T02:54:45Z,Florence,43.77,11.25,Avior,-62.75963,138.63768,234.13263,-59.66928
2011-02-23T07:29:57Z,Reykjavik,64.15,-21.95,Menkent,-13.61279,205.66458,148.15545,-36.425
2009-12-10T21:46:46Z,Mid-Atlantic,35.0,-40.0,Aldebaran,31.56716,91.29243,290.86649,16.5304
2019-09-23T14:12:17Z,Cape Horn,-55.9,-67.2,Vega,-53.88452,97.33942,80.60084,38.80847
2043-03-18T05:48:18Z,South Pole,-89.9,0.0,Bellatrix,-6.48596,179.09969,278.13751,6.38597
2028-05-21T16:32:12Z,South Pole,-89.9,0.0,Schedar,-56.73553,242.77273,349.46984,56.68968
2048-04-07T21:40:37Z,Cape Horn,-55.9,-67.2,Gienah,14.78508,100.05156,175.41528,-17.81396
2031-11-06T20:30:53Z,Reykjavik,64.15,-21.95,Vega,50.59567,255.67586,80.49848,38.82122
2025-03-09T00:15:47Z,Sydney,-33.87,151.21,Alnilam,-25.57166,110.41727,275.62665,-1.18756
2004-10-07T12:18:03Z,Equator/Prime,0.0,0.0,Menkar,-65.03934,279.78163,314.36562,4.11131
2044-12-08T23:54:51Z,Florence,43.77,11.25,Canopus,-6.72858,175.18581,263.75291,-52.71861
2032-05-25T23:45:00Z,Cape Horn,-55.9,-67.2,Eltanin,-43.27978,58.25061,90.6498,51.48627
2039-09-18T18:08:08Z,Tokyo,35.6,139.7,Kaus Aus.,-51.49126,257.57508,83.30218,-34.36385
2026-05-05T15:39:46Z,Southern Ocean,-55.0,-120.0,Alkaid,-60.16208,279.3198,152.84537,49.18098
2028-10-19T11:35:46Z,Sydney,-33.87,151.21,Acamar,49.18934,114.31922,315.15139,-40.18743
2007-02-11T07:47:59Z,North Pole,89.9,0.0,Procyon,5.12681,323.07654,245.07414,5.20675
2022-01-02T23:49:17Z,South Pole,-89.9,0.0,Fomalhaut,29.46706,244.74812,15.2899,-29.50968
2017-01-24T14:35:15Z,Mid-Atlantic,35.0,-40.0,Acamar,-29.89973,120.47355,315.27394,-40.24451
2007-12-29T16:14:37Z,Cape Horn,-55.9,-67.2,Polaris,-56.30705,1.00931,319.51234,89.30541
2022-08-09T17:52:36Z,Equator/Prime,0.0,0.0,Dubhe,13.70491,334.91955,193.73462,61.63346
2006-08-16T21:24:45Z,South Pole,-89.9,0.0,Atria,69.12866,325.88385,107.65277,-69.0458
2035-02-20T01:09:29Z,Intl Date Line,20.0,179.9,Markab,85.37263,185.5128,13.37766,15.39347
2050-06-23T10:45:12Z,Florence,43.77,11.25,Menkar,38.18683,231.54667,313.76887,4.28391
2024-02-05T02:05:20Z,Southern Ocean,-55.0,-120.0,Betelgeuse,18.05716,45.40175,270.87829,7.41076
2018-01-11T07:51:43Z,Singapore,1.35,103.82,Gacrux,-27.41889,200.76133,171.9544,-57.20793
2047-08-02T08:59:35Z,Southern Ocean,-55.0,-120.0,Fomalhaut,60.86515,36.26763,14.92225,-29.36404
