utc,star,sha_deg,dec_deg
2003-04-19T21:46:25Z,Hadar,148.98259,-60.38886
2041-01-28T22:10:41Z,Elnath,277.77613,28.63921
2021-06-17T08:06:02Z,Alnair,27.60738,-46.85449
2050-07-27T07:13:13Z,Capella,279.89257,46.03933
2004-05-24T01:18:37Z,Kaus Aus.,83.88165,-34.38374
2000-08-15T14:20:12Z,Elnath,278.42476,28.6057
2034-08-18T07:58:33Z,Rigel,280.95145,-8.16466
2033-07-28T07:33:43Z,Altair,61.88755,8.96298
2023-05-19T03:51:00Z,Alioth,166.22945,55.83667
2031-12-08T07:40:47Z,Alkaid,152.80687,49.1512
2041-07-13T01:52:21Z,Alnair,27.28902,-46.75638
2019-03-02T00:40:09Z,Menkar,314.18486,4.16051
2015-10-17T03:08:03Z,Aldebaran,290.78861,16.5381
2028-03-15T14:43:22Z,Fomalhaut,15.19967,-29.47225
2030-05-12T01:38:18Z,Canopus,263.84814,-52.71821
2037-02-15T12:41:42Z,Deneb,49.33448,45.41224
2012-11-02T04:21:24Z,Alphecca,126.19621,26.67467
2045-03-22T20:59:18Z,Peacock,52.70195,-56.58411
2035-03-24T05:32:15Z,Miaplacidus,221.59177,-69.86778
2018-10-11T19:02:47Z,Regulus,207.66599,11.87683
2039-06-19T03:03:32Z,Acrux,172.79647,-63.32032
2045-08-02T15:21:26Z,Acrux,172.71351,-63.35598
2000-09-24T20:52:36Z,Adhara,255.34055,-28.96884
2017-06-28T22:00:50Z,Alphecca,126.14121,26.66141
2015-11-27T17:52:20Z,Menkar,314.21674,4.15053
2014-03-16T13:14:53Z,Altair,62.13138,8.90574
2006-12-16T04:13:20Z,Denebola,182.645,14.53174
2045-11-26T21:02:19Z,Gacrux,171.56933,-57.36611
2043-05-03T23:50:25Z,Hadar,148.26268,-60.58226
2042-06-16T03:47:28Z,Alpheratz,357.35558,29.32062
2044-11-24T10:15:48Z,Avior,234.13894,-59.64861
2004-12-25T16:02:36Z,Pollux,243.59031,28.01465
2036-02-14T00:41:18Z,Betelgeuse,270.71715,7.40713
2041-01-07T05:35:14Z,Alnilam,275.42439,-1.17876
2038-05-30T08:07:09Z,Arcturus,145.64626,18.98594
2005-02-07T03:27:45Z,Alioth,166.4295,55.92764
2032-11-29T15:51:03Z,Kochab,137.363,74.02012
2035-06-09T08:46:31Z,Rigel,280.94652,-8.16699
2023-04-07T15:10:31Z,Rigel,281.09076,-8.17764
2045-06-30T14:53:28Z,Enif,33.38943,10.08525
2012-02-15T02:04:48Z,Enif,33.80628,9.93128
2047-08-08T11:40:13Z,Atria,106.54472,-69.11177
2050-08-22T13:59:55Z,Procyon,244.51274,5.09012
2016-11-16T10:27:07Z,Ankaa,353.22007,-42.21746
2033-06-22T08:27:39Z,Polaris,310.72208,89.39384
2039-06-06T09:49:49Z,Alnilam,275.45684,-1.18081
2037-07-06T13:54:43Z,Markab,13.34327,15.4055
2025-07-05T17:10:01Z,Sabik,102.03283,-15.75687
2041-07-16T03:56:25Z,Menkent,147.71664,-36.57466
2039-07-18T23:06:53Z,Mirfak,308.21718,49.99399
2019-07-17T04:45:06Z,Rigel,281.13885,-8.18061
2012-02-29T15:42:19Z,Acamar,315.31949,-40.26107
2032-04-24T11:51:35Z,Rigel,280.97848,-8.17117
2041-08-15T05:57:12Z,Pollux,243.04341,27.92444
2008-04-07T20:33:48Z,Denebola,182.62135,14.52331
2039-01-22T08:39:16Z,Alphecca,125.92069,26.58356
2003-01-25T19:34:16Z,Sirius,258.67806,-16.72098
2042-04-21T10:23:46Z,Elnath,277.76433,28.6405
2037-11-08T20:06:15Z,Mirfak,308.23473,49.991
2023-07-16T05:59:26Z,Sirius,258.46221,-16.74653
2022-09-24T00:08:10Z,Pollux,243.32928,27.97139
2044-05-14T13:30:36Z,Shaula,95.83758,-37.13303
2034-06-03T14:46:23Z,Alpheratz,357.45689,29.2765
2040-12-31T02:20:57Z,Suhail,222.61997,-43.59606
2024-01-10T09:50:17Z,Fomalhaut,15.25976,-29.49833
2028-12-18T05:58:18Z,Alnair,27.48725,-46.82181
2042-04-04T18:58:52Z,Antares,111.99826,-26.52361
2013-03-31T11:32:05Z,Rigil Kent,139.85496,-60.8878
2001-05-19T06:05:45Z,Zubenelg.,137.26036,-16.04751
2039-10-29T11:04:40Z,Deneb,49.30611,45.42736
2019-05-15T17:44:21Z,Spica,158.44559,-11.26131
2048-09-03T05:27:29Z,Zubenelg.,136.60178,-16.24148
2025-01-22T10:00:03Z,Menkar,314.10009,4.18784
2013-01-02T23:24:38Z,Dubhe,193.86369,61.67384
2004-10-26T09:08:18Z,Procyon,245.11204,5.21625
2007-09-06T19:36:56Z,Dubhe,193.95579,61.71047
2005-05-02T01:32:38Z,Fomalhaut,15.51694,-29.59425
2010-05-11T06:45:57Z,Alioth,166.36739,55.90414
2050-10-18T18:10:24Z,Zubenelg.,136.57686,-16.24756
2009-03-23T04:49:20Z,Adhara,255.24902,-28.98823
2046-01-19T08:13:16Z,Gienah,175.44839,-17.79838
2019-12-26T14:47:45Z,Achernar,335.3858,-57.14259
2036-09-25T08:27:57Z,Gacrux,171.70404,-57.31562
2017-06-20T23:26:30Z,Canopus,263.92492,-52.70882
2023-09-01T01:06:44Z,Schedar,349.53155,56.66486
2007-09-10T02:28:30Z,Nunki,76.05918,-26.28914
2037-11-19T11:35:21Z,Capella,280.12573,46.03001
2048-05-30T08:45:37Z,Capella,279.93384,46.04105
2036-06-09T21:45:48Z,Suhail,222.66964,-43.58567
2017-04-05T07:12:18Z,Mirfak,308.61696,49.91968
2023-09-30T14:31:23Z,Gienah,175.74964,-17.67075
2041-09-26T05:17:26Z,Peacock,52.76694,-56.60167
2048-03-09T15:00:07Z,Altair,61.71572,8.99692
2001-02-20T02:14:15Z,Rigel,281.35366,-8.20427
2048-03-16T20:41:28Z,Shaula,95.77304,-37.13247
2012-12-13T14:02:54Z,Hadar,148.81315,-60.43118
2032-10-30T03:53:00Z,Acamar,315.11602,-40.17518
2006-07-06T07:50:37Z,Antares,112.54371,-26.44915
2026-03-16T15:53:11Z,Bellatrix,278.36326,6.3725
2033-07-30T06:28:02Z,Bellatrix,278.26807,6.37603
2000-06-12T19:35:57Z,Ankaa,353.42987,-42.30206
2008-09-19T16:39:36Z,Alpheratz,357.78216,29.14121
2009-12-12T16:12:29Z,Altair,62.18389,8.89575
2049-02-14T17:21:02Z,Alpheratz,357.26478,29.363
2022-12-17T13:58:43Z,Schedar,349.54749,56.6664
2017-08-26T21:46:36Z,Denebola,182.51759,14.47677
2042-04-18T23:44:04Z,Dubhe,193.41662,61.52565
2019-11-17T03:25:01Z,Adhara,255.14726,-28.99702
2015-10-13T23:56:38Z,Sirius,258.5391,-16.73755
2024-01-02T13:12:26Z,Sabik,102.06759,-15.75458
2011-02-19T14:02:24Z,Menkent,148.1559,-36.42482
2002-09-23T17:50:14Z,Elnath,278.38813,28.60931
2032-02-22T03:35:51Z,Ankaa,353.03717,-42.13392
2003-01-26T10:37:54Z,Alioth,166.45717,55.93956
2007-11-21T07:16:38Z,Elnath,278.29436,28.61538
2012-12-06T10:42:30Z,Miaplacidus,221.65391,-69.76757
2030-09-09T14:46:08Z,Denebola,182.34477,14.40082
2044-03-12T13:54:09Z,Polaris,306.13121,89.44306
2042-04-23T03:49:11Z,Alnair,27.28545,-46.75385
2031-03-09T06:24:42Z,Rigil Kent,139.54904,-60.96074
2009-08-05T18:01:00Z,Denebola,182.61169,14.51908
2039-04-06T20:09:39Z,Denebola,182.23392,14.3527
2017-09-25T00:41:26Z,Polaris,316.13455,89.33329
2050-02-12T16:56:37Z,Ankaa,352.81478,-42.03646
2020-07-03T21:26:33Z,Rigil Kent,139.74803,-60.92128
2022-09-26T11:29:58Z,Ankaa,353.14287,-42.18189
2033-10-10T15:17:04Z,Betelgeuse,270.74747,7.40941
2037-04-08T02:57:03Z,Vega,80.45155,38.81693
2012-01-24T01:24:02Z,Capella,280.5924,46.01041
2030-06-18T08:07:43Z,Menkar,314.03071,4.20798
2037-12-14T06:03:26Z,Denebola,182.2562,14.36036
2048-10-01T07:18:19Z,Menkent,147.60755,-36.6079
2036-02-03T04:44:38Z,Suhail,222.66046,-43.58169
2004-10-21T16:41:17Z,Elnath,278.35032,28.61248
2043-11-18T00:25:00Z,Polaris,305.48982,89.43733
2009-07-16T14:27:29Z,Denebola,182.61122,14.51917
2050-06-13T19:04:16Z,Alioth,165.93809,55.69036
2004-05-18T04:10:23Z,Adhara,255.30751,-28.97898
2035-07-11T22:29:06Z,Procyon,244.71634,5.12984
2046-11-09T10:33:11Z,Alphard,217.52451,-8.86267
2035-11-18T23:00:17Z,Zubenelg.,136.78986,-16.18482
2033-03-29T15:08:51Z,Menkar,313.99693,4.2152
2039-07-09T18:11:15Z,Sabik,101.83697,-15.77015
2008-12-01T13:03:15Z,Shaula,96.45018,-37.11153
2014-08-12T21:18:30Z,Alkaid,152.97566,49.24561
2027-07-22T00:49:45Z,Schedar,349.47376,56.68563
2035-12-26T07:33:40Z,Capella,280.15712,46.02861
2046-05-31T11:43:44Z,Acrux,172.68847,-63.36196
2044-01-25T16:25:48Z,Alnair,27.25763,-46.74917
2018-10-19T16:22:11Z,Eltanin,90.74436,51.49356
2011-09-07T09:08:04Z,Avior,234.31819,-59.54441
2029-10-15T06:46:40Z,Miaplacidus,221.62667,-69.83599
2008-01-15T19:27:09Z,Nunki,76.06218,-26.28866
2047-05-13T08:05:48Z,Peacock,52.65045,-56.57392
2042-09-29T10:05:24Z,Acrux,172.76508,-63.33395
2017-09-02T05:05:08Z,Gacrux,171.96953,-57.21136
2044-03-13T12:05:48Z,Mirfak,308.12818,50.01829
2024-11-02T14:49:51Z,Hamal,327.85193,23.58235
2027-09-06T12:25:58Z,Alioth,166.19262,55.81175
2046-05-12T17:05:49Z,Rasalhague,95.71942,12.52649
2046-10-18T08:55:41Z,Atria,106.58718,-69.11003
2012-12-25T17:54:09Z,Pollux,243.46227,27.99027
2001-11-13T05:33:58Z,Suhail,222.98586,-43.4342
2001-12-03T10:29:35Z,Deneb,49.63355,45.28959
2017-12-18T04:58:02Z,Schedar,349.61382,56.63832
2006-12-17T11:35:44Z,Achernar,335.49762,-57.2048
2003-04-08T14:28:51Z,Spica,158.6574,-11.1789
2048-02-21T15:26:26Z,Shaula,95.77682,-37.13241
2046-11-21T10:01:50Z,Menkent,147.63696,-36.59739
2049-12-29T09:55:22Z,Hamal,327.49193,23.699
2020-08-15T16:30:21Z,Enif,33.69937,9.97047
2014-05-28T15:20:13Z,Arcturus,145.91488,19.10845
2007-02-06T06:20:53Z,Alphecca,126.25256,26.68515
2029-04-30T02:09:03Z,Ankaa,353.06941,-42.14425
2023-11-03T15:29:45Z,Sirius,258.4502,-16.745
2018-03-23T05:42:39Z,Shaula,96.29216,-37.11248
2011-02-17T05:12:50Z,Arcturus,145.95154,19.1192
2014-10-28T17:36:33Z,Rigel,281.18212,-8.18583
2036-07-21T14:48:49Z,Aldebaran,290.50063,16.57677
2019-04-07T15:02:19Z,Achernar,335.40623,-57.14338
2000-09-20T11:53:57Z,Vega,80.76135,38.79013
2044-10-18T20:27:09Z,Fomalhaut,14.96349,-29.38366
2042-03-17T02:42:27Z,Alioth,166.0211,55.72926
2009-01-31T21:09:51Z,Hamal,328.07636,23.50859
2015-12-16T22:45:06Z,Pollux,243.42233,27.98263
2010-03-03T10:09:57Z,Alioth,166.36829,55.89927
2019-09-07T18:13:33Z,Kochab,137.34412,74.08201
2018-06-01T16:07:54Z,Acamar,315.27033,-40.23374
2045-02-07T12:51:14Z,Mirfak,308.10458,50.02252
2019-02-07T22:47:34Z,Regulus,207.6522,11.87185
2005-04-01T18:52:38Z,Enif,33.89532,9.8944
2049-12-14T20:52:47Z,Eltanin,90.56453,51.4873
2050-01-16T16:20:35Z,Sirius,258.15359,-16.79201
2003-06-17T15:11:33Z,Altair,62.2605,8.87492
2027-01-28T21:37:05Z,Antares,112.2324,-26.49117
2047-08-08T22:36:57Z,Regulus,207.2755,11.73274
2042-05-21T05:36:32Z,Ankaa,352.91149,-42.07439
2007-01-06T20:37:30Z,Dubhe,193.95024,61.70843
2001-05-13T13:48:43Z,Rigel,281.35845,-8.20299
2011-08-03T08:50:50Z,Hadar,148.83208,-60.4338
2044-12-31T14:49:52Z,Canopus,263.75204,-52.7209
2006-10-29T08:08:54Z,Alphard,218.0205,-8.68474
2002-12-24T20:06:58Z,Alkaid,153.09199,49.29526
2033-08-20T23:48:04Z,Dubhe,193.5705,61.57016
2002-08-02T21:12:11Z,Elnath,278.39528,28.60876
2040-04-26T03:54:25Z,Kochab,137.31887,73.99078
2005-12-26T03:13:05Z,Antares,112.56366,-26.4459
2028-03-11T02:26:04Z,Antares,112.20958,-26.49377
2026-01-02T22:22:10Z,Aldebaran,290.63914,16.56182
2035-10-25T21:48:02Z,Menkent,147.80669,-36.5406
2048-02-10T04:39:08Z,Altair,61.71829,8.99759
2031-05-19T11:42:26Z,Menkar,314.02067,4.20988
2012-08-15T06:37:00Z,Kaus Aus.,83.73723,-34.37715
2030-08-30T05:25:59Z,Alphecca,126.00146,26.61707
2018-12-25T06:37:37Z,Achernar,335.39574,-57.14775
2015-12-01T23:50:03Z,Hadar,148.76563,-60.44382
2024-11-08T17:08:16Z,Polaris,313.62236,89.36895
2004-01-27T05:34:09Z,Arcturus,146.0406,19.15784
2034-12-10T13:20:23Z,Alnilam,275.49909,-1.18489
2019-02-15T03:38:27Z,Menkent,148.04725,-36.4598
2032-01-28T03:38:50Z,Rasalhague,95.89426,12.53861
2015-11-17T15:27:32Z,Achernar,335.41916,-57.15993
2003-04-01T05:34:26Z,Alpheratz,357.87154,29.10392
2043-11-09T06:23:08Z,Kochab,137.35598,73.97472
2031-09-22T00:36:58Z,Polaris,310.73421,89.38875
2024-06-25T18:40:46Z,Pollux,243.30297,27.96824
2017-10-11T03:36:01Z,Elnath,278.14642,28.61799
2040-01-12T23:00:27Z,Atria,106.78532,-69.09189
2016-12-29T12:54:02Z,Altair,62.10369,8.91583
2010-03-22T22:56:41Z,Alphecca,126.21294,26.67539
2011-02-18T02:06:41Z,Fomalhaut,15.43408,-29.56339
2032-10-05T21:00:27Z,Antares,112.14555,-26.50004
2030-07-27T02:54:14Z,Avior,234.22407,-59.60962
2018-03-23T09:54:28Z,Sabik,102.14567,-15.74502
2038-12-23T15:39:16Z,Canopus,263.78789,-52.71848
2017-10-12T15:09:32Z,Schedar,349.60966,56.63467
2022-09-05T20:49:43Z,Vega,80.57318,38.80884
2009-01-20T08:58:06Z,Acamar,315.3433,-40.27152
2012-11-30T23:07:19Z,Arcturus,145.93978,19.1145
2034-01-25T21:14:13Z,Acrux,172.85816,-63.2835
2048-06-21T03:15:27Z,Enif,33.35158,10.10045
2031-11-07T14:05:31Z,Spica,158.28247,-11.32478
2019-04-08T05:39:54Z,Regulus,207.65241,11.87209
2035-01-08T20:17:56Z,Mirfak,308.28282,49.98323
2010-04-30T07:16:20Z,Markab,13.68133,15.25934
2046-09-13T19:40:21Z,Menkent,147.63843,-36.5996
2049-02-21T15:38:22Z,Eltanin,90.56382,51.4809
2001-02-22T05:20:21Z,Nunki,76.1747,-26.29555
2045-02-08T16:07:07Z,Altair,61.75737,8.98707
2006-07-14T01:00:01Z,Hadar,148.92898,-60.40992
2046-10-28T05:20:11Z,Gienah,175.44532,-17.80051
2006-07-22T11:15:30Z,Alkaid,153.04836,49.28407
2048-05-30T12:07:54Z,Vega,80.34694,38.83026
2021-10-21T06:33:36Z,Alnair,27.60096,-46.8587
2001-11-22T21:02:17Z,Dubhe,194.04777,61.73838
2003-08-02T06:57:58Z,Deneb,49.60736,45.29172
2044-02-14T14:25:53Z,Bellatrix,278.12044,6.3871
2040-10-11T15:16:03Z,Dubhe,193.46023,61.53046
2004-02-14T18:01:46Z,Regulus,207.84978,11.94663
2022-10-07T12:37:18Z,Achernar,335.34981,-57.12059
